feature nr: 41002, importance: 0.00004
feature nr: 41185, importance: 0.00004
feature nr: 41256, importance: 0.00001
feature nr: 41296, importance: 0.00000
feature nr: 41327, importance: 0.00004
feature nr: 41525, importance: 0.00002
feature nr: 41618, importance: 0.00002
feature nr: 41632, importance: 0.00000
feature nr: 41713, importance: 0.00002
feature nr: 41744, importance: 0.00002
feature nr: 41764, importance: 0.00054
feature nr: 41936, importance: 0.00005
feature nr: 42060, importance: 0.00001
feature nr: 42112, importance: 0.00034
feature nr: 42119, importance: 0.00001
feature nr: 42160, importance: 0.00082
feature nr: 42251, importance: 0.00008
feature nr: 42275, importance: 0.00078
feature nr: 42328, importance: 0.00004
feature nr: 42329, importance: 0.00007
feature nr: 42475, importance: 0.00000
feature nr: 42679, importance: 0.00026
feature nr: 42712, importance: 0.00002
feature nr: 42799, importance: 0.00020
feature nr: 42841, importance: 0.00005
feature nr: 42888, importance: 0.00000
feature nr: 42922, importance: 0.00004
feature nr: 42924, importance: 0.00000
feature nr: 43003, importance: 0.00001
feature nr: 43009, importance: 0.00001
feature nr: 43083, importance: 0.00001
feature nr: 43120, importance: 0.00001
feature nr: 43211, importance: 0.00010
feature nr: 43292, importance: 0.00003
feature nr: 43448, importance: 0.00000
feature nr: 43492, importance: 0.00220
feature nr: 43529, importance: 0.00000
feature nr: 43622, importance: 0.00003
feature nr: 43732, importance: 0.00011
feature nr: 43828, importance: 0.00001
feature nr: 43977, importance: 0.00002
feature nr: 44036, importance: 0.00001
feature nr: 44196, importance: 0.00011
feature nr: 44285, importance: 0.00464
feature nr: 44290, importance: 0.01872
feature nr: 44450, importance: 0.00001
feature nr: 44545, importance: 0.00001
feature nr: 44580, importance: 0.00026
feature nr: 44606, importance: 0.00001
feature nr: 44607, importance: 0.00003
feature nr: 44634, importance: 0.00000
feature nr: 44823, importance: 0.00003
feature nr: 44907, importance: 0.00105
feature nr: 44947, importance: 0.00013
feature nr: 45011, importance: 0.00024
feature nr: 45113, importance: 0.00001
feature nr: 45186, importance: 0.00016
feature nr: 45273, importance: 0.00000
feature nr: 45304, importance: 0.00002
feature nr: 45378, importance: 0.00276
feature nr: 45448, importance: 0.00372
feature nr: 45452, importance: 0.00093
feature nr: 45519, importance: 0.00000
feature nr: 45549, importance: 0.00001
feature nr: 45656, importance: 0.00595
feature nr: 45947, importance: 0.00031
feature nr: 45949, importance: 0.00002
feature nr: 45960, importance: 0.00009
feature nr: 45983, importance: 0.00022
feature nr: 45984, importance: 0.00000
feature nr: 46020, importance: 0.00009
feature nr: 46096, importance: 0.00002
feature nr: 46143, importance: 0.00012
feature nr: 46156, importance: 0.00000
feature nr: 46181, importance: 0.00020
feature nr: 46299, importance: 0.02672
feature nr: 46404, importance: 0.00004
feature nr: 46471, importance: 0.00236
feature nr: 46497, importance: 0.00045
feature nr: 46507, importance: 0.00002
feature nr: 46721, importance: 0.00070
feature nr: 46867, importance: 0.00000
feature nr: 46880, importance: 0.00032
feature nr: 47094, importance: 0.00000
feature nr: 47115, importance: 0.00000
feature nr: 47158, importance: 0.00000
feature nr: 47266, importance: 0.00001
feature nr: 47385, importance: 0.00480
feature nr: 47463, importance: 0.00005
feature nr: 47475, importance: 0.00010
feature nr: 47715, importance: 0.00003
feature nr: 47739, importance: 0.00001
feature nr: 47785, importance: 0.00037
feature nr: 47975, importance: 0.00000
feature nr: 48058, importance: 0.00000
feature nr: 48098, importance: 0.00002
feature nr: 48151, importance: 0.00757
feature nr: 48173, importance: 0.00003
feature nr: 48358, importance: 0.00000
feature nr: 48462, importance: 0.00029
feature nr: 48518, importance: 0.00001
feature nr: 48540, importance: 0.00004
feature nr: 48764, importance: 0.00008
feature nr: 48803, importance: 0.00001
feature nr: 48873, importance: 0.00029
feature nr: 48882, importance: 0.00001
feature nr: 49024, importance: 0.00001
feature nr: 49123, importance: 0.00001
feature nr: 49131, importance: 0.00001
feature nr: 49210, importance: 0.00042
feature nr: 49367, importance: 0.00000
feature nr: 49397, importance: 0.00041
feature nr: 49441, importance: 0.00000
feature nr: 49462, importance: 0.00001
feature nr: 49565, importance: 0.00001
feature nr: 49633, importance: 0.00000
feature nr: 49732, importance: 0.00008
feature nr: 49819, importance: 0.00001
feature nr: 49903, importance: 0.00009
feature nr: 50018, importance: 0.00022
feature nr: 50114, importance: 0.00001
feature nr: 50270, importance: 0.00001
feature nr: 50333, importance: 0.00001
feature nr: 50365, importance: 0.00002
feature nr: 50455, importance: 0.00000
feature nr: 50538, importance: 0.00003
feature nr: 50553, importance: 0.00001
feature nr: 50656, importance: 0.00003
feature nr: 50658, importance: 0.00006
feature nr: 50759, importance: 0.00002
feature nr: 50885, importance: 0.00003
feature nr: 50924, importance: 0.00002
feature nr: 50933, importance: 0.00562
feature nr: 50964, importance: 0.00003
feature nr: 51006, importance: 0.00067
feature nr: 51028, importance: 0.00006
feature nr: 51062, importance: 0.00000
feature nr: 51240, importance: 0.00001
feature nr: 51257, importance: 0.00010
feature nr: 51303, importance: 0.00000
feature nr: 51349, importance: 0.00012
feature nr: 51377, importance: 0.00001
feature nr: 51387, importance: 0.00000
feature nr: 51611, importance: 0.00001
feature nr: 51711, importance: 0.00000
feature nr: 51715, importance: 0.00002
feature nr: 51871, importance: 0.00003
feature nr: 51891, importance: 0.00001
feature nr: 52028, importance: 0.00000
feature nr: 52030, importance: 0.00009
feature nr: 52053, importance: 0.00000
feature nr: 52098, importance: 0.00000
feature nr: 52207, importance: 0.00020
feature nr: 52238, importance: 0.00082
feature nr: 52364, importance: 0.00001
feature nr: 52537, importance: 0.00001
feature nr: 52645, importance: 0.00028
feature nr: 52699, importance: 0.00004
feature nr: 52819, importance: 0.00003
feature nr: 52934, importance: 0.00001
feature nr: 53306, importance: 0.00000
feature nr: 53310, importance: 0.00001
feature nr: 53312, importance: 0.00000
feature nr: 53442, importance: 0.00005
feature nr: 53468, importance: 0.00000
feature nr: 53521, importance: 0.00001
feature nr: 53523, importance: 0.00021
feature nr: 53594, importance: 0.00001
feature nr: 53640, importance: 0.00001
feature nr: 53678, importance: 0.00006
feature nr: 53832, importance: 0.00001
feature nr: 53920, importance: 0.00000
feature nr: 54012, importance: 0.00003
feature nr: 54046, importance: 0.00009
feature nr: 54065, importance: 0.00128
