feature,importances,count
160993,[1e-05],1
161010,[0.00013],1
161020,[9e-05],1
161149,[1e-05],1
161241,[2e-05],1
161345,[0.0],1
161359,[7e-05],1
161384,[1e-05],1
161401,[1e-05],1
161541,[0.0],1
161588,[0.0],1
161902,[1e-05],1
161600,[0.0],1
161644,[9e-05],1
161683,[1e-05],1
161708,[1e-05],1
161765,[2e-05],1
161797,[5e-05],1
161815,[1e-05],1
161824,[0.00098],1
161830,[0.0],1
161863,[2e-05],1
164154,[0.00053],1
164188,[0.0],1
160921,[1e-05],1
164298,[1e-05],1
167108,[0.0],1
167303,[9e-05],1
167396,[2e-05],1
167445,[0.0001],1
167450,[2e-05],1
167563,[0.00031],1
167589,[0.00647],1
167647,[4e-05],1
167740,[2e-05],1
167814,[0.00046],1
167820,[0.0],1
167983,[0.0001],1
167985,[1e-05],1
168061,[0.00049],1
168132,[0.0],1
168150,[0.0001],1
168604,[0.00012],1
168627,[2e-05],1
168678,[2e-05],1
168878,[7e-05],1
168895,[0.0],1
168932,[2e-05],1
168938,[0.0],1
166996,[0.00016],1
166931,[0.0],1
166845,[2e-05],1
165643,[1e-05],1
164417,[0.0],1
164667,[0.0],1
164718,[0.00036],1
164772,[5e-05],1
164903,[0.0],1
164983,[0.0],1
165018,[0.00015],1
165370,[1e-05],1
165561,[0.0],1
165625,[1e-05],1
165655,[0.00029],1
166709,[1e-05],1
165753,[0.00096],1
165790,[1e-05],1
165811,[0.0],1
165950,[1e-05],1
166197,[0.0003],1
166202,[0.0],1
166287,[0.0],1
166395,[6e-05],1
166495,[2e-05],1
166596,[1e-05],1
160987,[2e-05],1
160910,[0.00015],1
150648,[7e-05],1
155307,[3e-05],1
153288,[5e-05],1
153433,[2e-05],1
153475,[1e-05],1
153525,[0.0],1
153583,[2e-05],1
153755,[4e-05],1
153785,[3e-05],1
153845,[1e-05],1
153949,[0.0],1
153968,[3e-05],1
153979,[0.00016],1
154002,[3e-05],1
154104,[3e-05],1
154232,[2e-05],1
154390,[1e-05],1
154477,[2e-05],1
154668,[0.0],1
154783,[6e-05],1
154837,[9e-05],1
154856,[8e-05],1
154861,[5e-05],1
155004,[1e-05],1
155017,[2e-05],1
153232,[0.0],1
153221,[0.0],1
153123,[7e-05],1
151856,[0.00028],1
150746,[0.00137],1
150749,[9e-05],1
150964,[2e-05],1
151062,[0.00024],1
151069,[0.02043],1
151105,[1e-05],1
151271,[1e-05],1
151428,[0.00191],1
151734,[1e-05],1
151818,[5e-05],1
151857,[6e-05],1
153050,[2e-05],1
151866,[0.02485],1
151967,[0.00097],1
152348,[5e-05],1
152386,[0.0],1
152420,[1e-05],1
152426,[1e-05],1
152444,[2e-05],1
152552,[1e-05],1
152697,[3e-05],1
152826,[8e-05],1
155238,[0.00224],1
155435,[0.0],1
160856,[3e-05],1
155590,[3e-05],1
158366,[2e-05],1
158408,[1e-05],1
158557,[1e-05],1
158697,[1e-05],1
158787,[7e-05],1
158928,[0.00046],1
159091,[0.00034],1
159204,[7e-05],1
159208,[1e-05],1
159351,[2e-05],1
159630,[0.00429],1
159753,[0.0],1
159790,[3e-05],1
159792,[0.00013],1
159841,[0.0002],1
159873,[8e-05],1
160156,[5e-05],1
160161,[1e-05],1
160378,[5e-05],1
160418,[0.00069],1
160453,[0.0001],1
160599,[0.00029],1
160631,[1e-05],1
157905,[0.00172],1
157881,[0.0],1
157782,[8e-05],1
156636,[0.0],1
155649,[0.0],1
155692,[1e-05],1
155796,[0.00013],1
155844,[2e-05],1
156058,[0.0003],1
156061,[2e-05],1
156083,[1e-05],1
156333,[1e-05],1
156539,[0.0],1
156579,[0.00011],1
156652,[0.0],1
157619,[1e-05],1
156671,[1e-05],1
156736,[0.0],1
156748,[1e-05],1
156894,[7e-05],1
156965,[0.0],1
156987,[1e-05],1
157086,[2e-05],1
157274,[0.0],1
157341,[1e-05],1
157382,[0.03039],1
207176,[6e-05],1
207215,[0.0],1
207221,[2e-05],1
255238,[1e-05],1
253548,[0.00033],1
253621,[0.00021],1
253723,[0.0],1
253892,[1e-05],1
254022,[1e-05],1
254074,[6e-05],1
254088,[0.00022],1
254210,[0.00013],1
