"chisq" "df" "pval"
"LUSC4" 24.3422965534442 8 0.00200759805585503
"LUSC5" 26.2309694066361 13 0.0158266231870442
"LUSC6" 40.1822100164597 18 0.00197123597210889
"LUSC7" 25.3351959788289 14 0.031398903587773
"LUSC8" 32.2361813863749 12 0.00127225468043396
"LUSC9" 31.8680781922535 12 0.00145013973438903
"LUSC10" 20.3944946659783 10 0.0257346444744013
"LUSC11" 34.6616434717507 15 0.00274681028077821
"LUSC12" 38.4305538982912 12 0.000130548665576282
"LUSC13" 36.7245002285415 11 0.00012814030028006
"LUSC14" 28.0928416751087 13 0.00878378022731443
"LUSC15" 45.0072679049792 13 2.08691192886053e-05
"LUSC16" 39.8876031675837 17 0.00134228362070634
"LUSC17" 52.806225369987 19 5.00660346310197e-05
"LUSC18" 33.0539890728833 10 0.000266753252707923
"LUSC19" 33.5458072424815 14 0.00240188675064757
"LUSC20" 39.61384645066 22 0.0119905173238766
"LUSC21" 28.8282176896264 13 0.00692315149994778
"LUSC22" 37.5405341981766 12 0.00018249651195778
"LUSC23" 37.2055321233719 15 0.00118089175832201
"LUSC24" 28.4268813891501 14 0.0124809798769058
"LUSC25" 41.1687541375277 16 0.000524304370931204
"LUSC26" 53.2861189958473 16 6.77897918812103e-06
"LUSC27" 46.388042961095 19 0.000436644034333274
"LUSC28" 28.4068101885319 8 0.000402768268222764
"LUSC29" 33.217419142252 13 0.00158048741501519
"UCEC" 40.5721429207022 15 0.000371500782108872
"UCEC1" 28.92852170361 13 0.00670045595891261
"UCEC2" 34.6212648164504 13 0.000967763041242955
"UCEC3" 33.4423053409988 13 0.00146184410404637
"UCEC4" 31.2883263967129 8 0.000124831734006285
"UCEC5" 39.3969901092984 11 4.53433545910901e-05
"UCEC6" 22.5053828539956 8 0.00406085074113547
"UCEC7" 33.5783704859243 10 0.000217652243284138
"UCEC8" 43.8574407870983 15 0.000115758985563931
"UCEC9" 17.599648024613 6 0.00731459600535176
"UCEC10" 24.0798777297909 10 0.00739117049575706
"UCEC11" 35.5771172018946 13 0.000689925685917704
"UCEC12" 24.2508663014265 8 0.00207996483683391
"UCEC13" 31.350531110714 9 0.000257706531308765
"UCEC14" 21.5889493504214 6 0.00143700147171072
"UCEC15" 28.8172751536049 7 0.000156217606213417
"UCEC16" 47.3599975782599 10 8.12031418646579e-07
"UCEC17" 49.4293301541927 15 1.49190067644964e-05
"UCEC18" 33.4490467570988 13 0.00145842375519826
"UCEC19" 42.7112869599696 13 5.00766271762327e-05
"UCEC20" 30.8833551518884 11 0.00114950738274475
"UCEC21" 34.6146603178374 12 0.000539242303239365
"UCEC22" 32.3283401097434 12 0.00123113888942857
"UCEC23" 29.028428622328 13 0.0064854171643653
"UCEC24" 30.3856720667554 12 0.00244218458572628
"UCEC25" 37.3560184138221 10 4.91031361899997e-05
"UCEC26" 34.2766918055442 11 0.000325864736057399
"UCEC27" 34.6932700678568 9 6.74802197822353e-05
"UCEC28" 26.8354698657657 10 0.00276502856128796
"UCEC29" 25.8788366681924 11 0.00676472176906186
