,lncRNA,num_up_regulated,num_down_regulated,Normal_mean,BLCA_mean,BRCA_mean,COAD_mean,ESCA_mean,HNSC_mean,KIRC_mean,KIRP_mean,LIHC_mean,LUAD_mean,LUSC_mean,PRAD_mean,THCA_mean,UCEC_mean,Normal_std,BLCA_std,BRCA_std,COAD_std,ESCA_std,HNSC_std,KIRC_std,KIRP_std,LIHC_std,LUAD_std,LUSC_std,PRAD_std,THCA_std,UCEC_std,fraction_up_regulated,prolifer,invasi,migrat,growth,methylat,metasta,apoptosis,cell cycle arrest,cell cycle,EMT,immun,cell cycle progression,oncogen,tumor suppress,growth arrest,metaboli,autophag,angiogenesis,prognosis
64,KCNA3,0,1,0.07012814659096603,0.4121697944062392,0.1415534284935127,0.6393373796741797,0.3898848962601028,0.3614228124124452,0.10765647255651024,0.06539287248707931,0.19716870106061846,0.1704402778277724,0.1254178361393953,0.13144841943505428,0.0606833141442208,0.21955556931633155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,HHIP-AS1,0,1,0.046949514710899566,0.1001291912998772,0.070621847270675,0.13441872927267626,0.12470610610777184,0.0967602101493035,0.04394291217531293,0.0306622589164868,0.08355511105086573,0.0784583482981794,0.03941091546271765,0.1576813631181021,0.05033017994733873,0.029563714243753886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
66,INHBA-AS1,2,0,0.052556669439945,0.059537136148760876,0.06110310037537325,0.08798203540397835,0.1113820882708438,0.08479736153179603,0.05714571304759425,0.045819752545927885,0.052149574807817976,0.1027590551803099,0.08124760836241664,0.04654256411497352,0.04779301276662785,0.04559594592634147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,CAHM,0,2,0.04798658457145249,0.041970571851049764,0.0491342973292092,0.29249078416669283,0.06319936112134023,0.04531975783786982,0.04377099551046478,0.03970187698519829,0.04229240743769819,0.07545107461750511,0.04249655675927731,0.04041142932046808,0.04555778856299096,0.04872934282414005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,ZEB1,2,0,0.2169849000665044,0.11636169901567545,0.10881256575201344,0.2034822747522732,0.15422372278361893,0.1643331472477761,0.13876372170679888,0.0781833574809481,0.11583591474347076,0.2410832960215716,0.15830570946480113,0.14376237538095235,0.1367040384030025,0.10505365791332573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
69,PEG10,10,0,0.35432337177992485,0.2300564609561556,0.3135977945528731,0.3462699648683715,0.2689943245640947,0.3424426705533577,0.3519981725611462,0.3606903188084418,0.31601482764405936,0.3757590407493545,0.2426478857723236,0.2814282396044085,0.3738644237603526,0.2682840777622393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,7,7,1,0,2,7,0,0,0,0,0,0,1,0,0,0,0,1
70,HOXA11-AS,41,5,0.0570709572727918,0.06484446050408839,0.1520853635619152,0.03849337578777165,0.04225168235578258,0.05380151738983957,0.05124582636475247,0.045595910345005486,0.13837773006632206,0.2319602368339774,0.07302723019425318,0.032359481502514165,0.06403819318673548,0.04257370661613034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8913043478260869,25,24,16,13,0,11,12,2,5,4,1,1,7,2,0,0,0,0,0
71,LIFR-AS1,1,1,0.03753040857284218,0.0530645323771463,0.03923027486753406,0.5906561243200545,0.054627876902252945,0.059613524776275684,0.03499714255766539,0.0347254296699038,0.05489659095472182,0.07737197370372596,0.054247471302644,0.029042543570528614,0.03438617334386025,0.03337586530031092,0.01709299284226669,0.028767499956265336,0.01880979256528916,0.011437718743789516,0.028748663292980342,0.03645841296678282,0.016448917940022987,0.013691832142738013,0.0270459193581991,0.04047029284512568,0.03244981266608139,0.008363028117326922,0.012390826481224635,0.01161378948247796,0.5,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,LINC00667,1,1,0.03176016174683657,0.09449839299635293,0.0559060900988303,0.044241337424325705,0.0426662894113731,0.05990962923069504,0.02627156126131515,0.026434204618869105,0.030810878160415767,0.057280111251626235,0.02942097451533609,0.02644803410504272,0.0332071522852592,0.3257846496428182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
73,STAT3,0,1,0.6188940960496979,0.4576691484550214,0.5082615374411835,0.631567314977031,0.5347136369694196,0.4575892370684734,0.5176755616883436,0.6906754105195153,0.6958113824496474,0.4811828984366134,0.4505465689561706,0.6765387104305138,0.7136296722152662,0.6506954859705864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
