,lncRNA,num_up_regulated,num_down_regulated,Normal_mean,BLCA_mean,BRCA_mean,COAD_mean,ESCA_mean,HNSC_mean,KIRC_mean,KIRP_mean,LIHC_mean,LUAD_mean,LUSC_mean,PRAD_mean,THCA_mean,UCEC_mean,Normal_std,BLCA_std,BRCA_std,COAD_std,ESCA_std,HNSC_std,KIRC_std,KIRP_std,LIHC_std,LUAD_std,LUSC_std,PRAD_std,THCA_std,UCEC_std,fraction_up_regulated,prolifer,invasi,migrat,growth,methylat,metasta,apoptosis,cell cycle arrest,cell cycle,EMT,immun,cell cycle progression,oncogen,tumor suppress,growth arrest,metaboli,autophag,angiogenesis,prognosis
96,linc00629,0.0,3.0,0.18619756774491966,0.10961902930595216,0.4941251036794283,0.1750713525157357,0.10363958225777974,0.10303533908467634,0.14786573333674813,0.10706367537584628,0.3217948537452583,0.2323698648432289,0.09790555117835993,0.06506332903259435,0.2677956842182189,0.4023466665511367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,dlx6-as1,35.0,0.0,0.07699965926565258,0.06388780519967477,0.20179711574320552,0.152029570055096,0.12891451354036798,0.06205462130768771,0.08985932300342264,0.07744253673439337,0.13085503511272326,0.22410531209176032,0.06610517396208429,0.08821780499338935,0.06967772946901445,0.04198355956475866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,45.0,42.0,29.0,5.0,29.0,21.0,0.0,8.0,11.0,6.0,2.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0
98,ewsat1,7.0,0.0,0.8319016551531774,0.7795453589464365,0.8351611128976897,0.6678040526463059,0.7375153983722438,0.7883647195084259,0.8365671430881594,0.8336999877858814,0.8283212668985871,0.7386319586123421,0.7421827601838862,0.8557661972252563,0.8565522368018501,0.6809390642091917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,7.0,3.0,6.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
99,hoxa-as3,4.0,0.0,0.3756046510209422,0.6257619930222152,0.5839951435744968,0.4535417969829035,0.568925014446306,0.5989502156275354,0.528884154099716,0.5300881578284822,0.4693571575239995,,0.6147264539570839,0.6285591081951751,0.27872847584973826,0.544655530707285,0.18138851537783254,0.33015543179736123,0.18971500369223987,0.27896815004446196,0.2682379480629414,0.22553742277844815,0.30658869733138505,0.3205470202127418,0.191145612052412,,0.20509486510057764,0.33803243566010915,0.13755155899089114,0.19933642325115208,1.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,hoxb-as3,3.0,1.0,0.20681760465418025,0.21015295949554916,0.2991708479819465,0.20888717187474148,0.26571371932688176,0.3938558633221632,0.2149985816554214,0.21355875592041795,0.2727333236213647,0.4228439472508085,0.3862874859842403,0.3875785200983324,0.2191662428947548,0.17113565028640826,0.24849206621245284,0.27979667327628105,0.23157672258621725,0.22465888731912415,0.25681302112832044,0.19262889441623526,0.2856615935131325,0.2854097492374997,0.2293823006621421,0.13027444958913045,0.1624353620744041,0.22188966734928897,0.264283738038359,0.18490178333074936,0.75,9.0,3.0,3.0,3.0,0.0,0.0,5.0,2.0,4.0,1.0,1.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0
101,a1bg-as1,0.0,1.0,0.40559188149933584,0.500569320918147,0.8257437065622879,0.7386565907087845,0.740589158649809,0.7754722847731199,0.4767505158864653,0.44250081612187137,0.3824099803243921,0.6892760212709423,0.7771221188194442,0.33167372156790903,0.4692734799859827,0.4560966032441661,0.05211182983816154,0.02678655086146986,0.024171606789966105,0.01864857952252541,0.016730888120699394,0.01975728924398273,0.07049993221357695,0.04194163649074395,0.036751301757459776,0.003965948907201533,0.017030827536534454,0.06743678368195137,0.04592926009756523,0.042492644987549434,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,snd1,0.0,1.0,0.11457439486500925,0.34584667176378525,0.24483564731977964,0.36351361549984174,0.2674718544647676,0.20025372762240634,0.14532695444240434,0.1629660755066153,0.62725204506105,0.1996369174659157,0.13330427314187204,0.32165690630399296,0.16615512576580346,0.1353696439219111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,gmds-dt,0.0,1.0,0.9243157620142508,0.8811955992805586,0.9064407696767421,0.9511282679401952,0.910435525181407,0.7709088255539418,0.9499418370818208,0.9473191888351604,0.9000253046889862,0.8899386805155475,0.8732099357340757,0.9427242970202421,0.9531690381721069,0.8964616251362252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,paxip1-as1,1.0,0.0,0.6451411345680578,0.45842655942750893,0.4890879533458339,0.3558506120210124,0.5314254435356116,0.6959507411919602,0.5150790895412942,0.4523986565554596,0.4428394201803002,0.5096837444111891,0.5297009325030647,0.5717560120481195,0.7429292035664546,0.3478640739506829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
105,zmat1,0.0,2.0,0.9163320167543244,0.8597870188161952,0.8833149521182303,0.9016585554787602,0.8644560612315352,0.877682893649535,0.9218341385639234,0.9184393606354316,0.8758168949224302,0.8369186638018818,0.8636563719832449,0.9232710734127,0.9102591231696542,0.8681002887432862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
